well id,Lease Name,Well Number,Operator compnay,County,Landing Zone,Surf Lat,Surf Long,BH Lat,BH Long,Date Spud,Lateral Len (ft),Date Completed,Total Fluid (bbl),Total Proppant (lb),"Well Spacing, ft",Well Name,Fluid (bbl/ft),Prop (lb/ft),Avg PPG,"Oil EUR, Mbbl","Gas EUR, MMcf"
4.24614E+13,HASEL19 UNIT,32H,COG OPERATING LLC,UPTON,WCMP B,31.34042889,-102.0513611,31.35485072,-102.0561721,10/26/2014,4998,3/6/2015,,,,HASEL19 UNIT 32H,,,,,
4.24614E+13,BRITAIN,3136H,SM ENERGY CO,UPTON,WCMP B,31.61479238,-102.2258079,31.6297856,-102.2323422,10/25/2014,4952,6/24/2016,12147564,9254000,,BRITAIN 3136H,58,1869,0.76,,
4.24614E+13,TXL `45`,28H,SUMMIT PETROLEUM LLC,UPTON,WCMP A,31.47998889,-102.1549167,31.49572844,-102.1600968,10/2/2014,5090,5/1/2015,9215312,11738000,,TXL `45` 28H,43,2306,1.27,,
4.24614E+13,DAVIDSON 37 (ALLOCATION),11HR,OVINTIV USA INC,UPTON,WOLFCAMP,31.6503412,-102.0569972,31.6709352,-102.0637534,3/3/2015,7213,8/23/2015,10576197,13612000,,DAVIDSON 37 (ALLOCATION) 11HR,35,1887,1.29,435,1765
4.24614E+13,UNIVERSITY `3-14`,48H,PIONEER NATURAL RESOURCES USA INC,UPTON,WCMP B,31.28546583,-101.8459931,31.260966,-101.8459844,12/28/2014,8266,6/14/2015,13098369,8198000,,UNIVERSITY `3-14` 48H,38,992,0.63,,
4.24614E+13,XBC GIDDINGS ESTATE,2103H,PIONEER NATURAL RESOURCES USA INC,UPTON,WOLFCAMP SHALE,31.46227486,-102.0125886,31.48718818,-102.0215249,1/3/2015,9062,5/18/2015,14423401,10138000,,XBC GIDDINGS ESTATE 2103H,38,1119,0.7,,
4.24614E+13,ROBBIE 17-8,4403H,PIONEER NATURAL RESOURCES USA INC,UPTON,WCMP B,31.60123889,-102.0035583,31.61537778,-102.0101389,7/29/2015,4399,11/4/2015,7211411,6664000,,ROBBIE 17-8 4403H,39,1515,0.92,253,1190
4.24614E+13,PEGASUS FIELD UNIT 3,2110H,COG OPERATING LLC,UPTON,WOLFCAMP SHALE,31.63325,-102.1602417,31.61852894,-102.1561223,2/28/2015,4866,7/11/2015,8085555,8102000,,PEGASUS FIELD UNIT 3 2110H,40,1665,1,244,2049
4.24614E+13,NEAL,326H,SEM OPERATING CO LLC,UPTON,WCMP B,31.29781583,-101.897495,31.27718021,-101.8947659,1/18/2015,7330,7/18/2015,13349848,10866000,,NEAL 326H,43,1482,0.81,,
4.24614E+13,MORGAN 33,17H,PIONEER NATURAL RESOURCES USA INC,UPTON,WCMP B,31.42241278,-101.9607442,31.4211216,-101.9605424,12/5/2014,,12/18/2014,,,,MORGAN 33 17H,,,,,
4.24614E+13,XBC GIDDINGS ESTATE,4104H,PIONEER NATURAL RESOURCES USA INC,UPTON,WCMP B,31.50523354,-101.9651226,31.48772449,-101.9577188,4/10/2015,6245,8/21/2015,9721929,6272000,,XBC GIDDINGS ESTATE 4104H,37,1004,0.65,,
4.24614E+13,CC `42`,1HM,APACHE CORP,UPTON,WCMP B,31.53322778,-101.9992528,31.54839832,-102.0055671,12/14/2014,4899,2/22/2015,5525143,14272000,,CC `42` 1HM,27,2913,2.58,,
4.24614E+13,UNIVERSITY `3-19`,37H,PIONEER NATURAL RESOURCES USA INC,UPTON,WCMP B,31.26832111,-101.7821103,31.29632859,-101.7825622,2/8/2015,9708,6/22/2015,15377003,9894000,,UNIVERSITY `3-19` 37H,38,1019,0.64,,
4.24614E+13,AMACKER46 UNIT,4628CH,COG OPERATING LLC,UPTON,WCMP B,31.36887794,-101.9932302,31.38404763,-101.9982749,2/18/2015,5010,6/19/2015,8091228,8406000,,AMACKER46 UNIT 4628CH,38,1678,1.04,,
4.24614E+13,XBC GIDDINGS ESTATE,1204H,PIONEER NATURAL RESOURCES USA INC,UPTON,WCMP B,31.50616918,-101.9637329,31.52598569,-101.9705415,9/3/2015,6864,2/29/2016,11037318,8900000,,XBC GIDDINGS ESTATE 1204H,38,1297,0.81,,
4.24614E+13,BROOK A-5D,4H,PIONEER NATURAL RESOURCES USA INC,UPTON,WCMP B,31.45061433,-101.8396362,31.43800186,-101.8326224,5/10/2017,,6/6/2017,,,,BROOK A-5D 4H,,,,,
4.24614E+13,BROOK A-5D,4H,PIONEER NATURAL RESOURCES USA INC,UPTON,WCMP B,31.45061433,-101.8396362,31.42401415,-101.8284199,6/7/2017,9767,10/15/2017,17786872,19510000,,BROOK A-5D 4H,43,1998,1.1,,
4.24614E+13,LAURAJEAN UNIT,6328BH,COG OPERATING LLC,UPTON,WCMP B,31.40319444,-102.0398972,31.43166087,-102.050647,7/13/2015,10328,2/5/2016,22450952,15852000,,LAURAJEAN UNIT 6328BH,52,1535,0.71,,
4.24614E+13,SHAUNA `9-16-16A`,4415H,PIONEER NATURAL RESOURCES USA INC,UPTON,WOLFCAMP,31.622057,-101.980862,31.6014207,-101.9749971,7/18/2015,7163,9/26/2015,13986572,13096000,,SHAUNA `9-16-16A` 4415H,46,1828,0.94,605,2685
