Well_UID,WellPadID
42-317427590000,42-317-42758
42-317427960000,42-317-42796
42-461414360000,42-461-40647
42-383408540000,42-383-40854
42-383408560000,42-383-40854
42-227405890000,42-227-40588
42-227406120000,42-227-40610
42-317429790000,42-317-42979
42-329442080000,42-329-44208
42-173383550000,42-173-38353
42-227407380000,42-227-40740
42-317431390000,42-317-43139
42-317431460000,42-317-43146
42-227407600000,42-227-40759
42-317432120000,42-317-43214
42-317432260000,42-317-43226
42-227408050000,42-227-40805
42-173383800000,42-173-38384
42-329444670000,42-329-44467
42-461415870000,42-461-41589
42-383409310000,42-383-40931
42-227408690000,42-227-40868
42-317433350000,42-317-43335
42-227409560000,42-227-40949
42-227410570000,42-227-39466
42-173373580000,42-173-37359
42-227387600000,42-227-38755
42-227387990000,42-227-38799
42-227388560000,42-227-38859
42-461401390000,42-461-40135
42-383385530000,42-383-38550
42-461401180000,42-461-40118
42-317405020000,42-317-40021
42-235359050000,42-235-35911
42-383386090000,42-383-38615
42-461398150000,42-461-39814
42-329406180000,42-329-40463
42-329407460000,42-329-40745
42-329410530000,42-329-41052
42-329411340000,42-329-41136
42-329414180000,42-329-41415
42-329408250000,42-329-40826
42-329414440000,42-329-41443
42-329403640000,42-329-40366
42-329403710000,42-329-40369
42-329404800000,42-329-40478
42-329405500000,42-329-40550
42-329408100000,42-329-40812
42-329410590000,42-329-41064
42-329413630000,42-329-41364
42-329414410000,42-329-41439
42-461397700000,42-461-39770
42-383384050000,42-383-38155
42-461391600000,42-461-39161
42-329389970000,42-329-38997
42-329406610000,42-329-40657
42-383387130000,42-383-38713
42-105414630000,42-105-41463
42-105408410000,42-105-40841
42-329407220000,42-329-40477
42-329400520000,42-329-40052
42-135433890000,42-135-43390
42-383393750000,42-383-39375
42-383390350000,42-383-39035
42-329393340000,42-329-39334
42-329403560000,42-329-40358
42-173375270000,42-173-37527
42-329408670000,42-329-40865
42-383382260000,42-383-38226
42-033322960000,42-033-32296
42-105423190000,42-105-41518
42-317407350000,42-317-40733
42-227390490000,42-227-39040
42-329415940000,42-329-41594
42-329416320000,42-329-41629
42-461405800000,42-461-40580
42-329416240000,42-329-41623
42-227390760000,42-227-39076
42-227391080000,42-227-39108
42-227391120000,42-227-39112
42-003475420000,42-003-47438
42-317408330000,42-317-40833
42-461406040000,42-461-40604
42-173376020000,42-173-37603
42-227391670000,42-227-39166
42-227391760000,42-227-39176
42-105424100000,42-105-42412
42-173376500000,42-173-35848
42-317409260000,42-317-40926
42-227392450000,42-227-39248
42-227392700000,42-227-39240
42-317409970000,42-317-40995
42-317410520000,42-317-41044
42-227392710000,42-227-39274
42-329420310000,42-329-42246
42-227392980000,42-227-39298
42-317411420000,42-317-41083
42-227393690000,42-227-39369
42-235362350000,42-235-35634
42-329422720000,42-329-42264
42-235362460000,42-235-36246
42-317412750000,42-317-41273
42-383401500000,42-383-40151
42-317412900000,42-317-41287
42-317412430000,42-317-41242
42-329422150000,42-329-40693
42-317412890000,42-317-41287
42-173378390000,42-173-37837
42-317413240000,42-317-41323
42-317413540000,42-317-41144
42-317413670000,42-317-41366
42-461407930000,42-461-40790
42-227395660000,42-227-39563
42-235362670000,42-235-36266
42-329424400000,42-329-42441
42-033324660000,42-033-32461
42-227395600000,42-227-39557
42-329423750000,42-329-42370
42-329423800000,42-329-42370
42-329425100000,42-329-42509
42-461408810000,42-461-40881
42-329425490000,42-329-42549
