Well_ID,TotalOrganicCarbon_WTPCT
42-235349030000,2.3786448
42-105414990000,1.6074898
42-173366690000,2.24955
42-173370630000,1.2018057
42-173374930000,2.027745165
42-317395680000,1.8473169
42-317401750000,1.435285323
42-317404030000,1.70706865
42-317405380000,1.630395473
42-317405470000,1.730979863
42-329408770000,1.697847312
42-329413110000,1.420385
42-461404680000,2.5440462
42-329391180000,0.952109675
42-461388600000,2.373471035
42-461390940000,1.2158486
42-461396220000,2.654832147
42-317401950000,2.141765429
42-173369430000,2.027526571
42-329402960000,1.9630406
42-329405700000,1.647979643
42-329408400000,1.426110225
42-329412190000,1.63037826
42-317403750000,1.905287
42-317405890000,1.73929592
42-329403470000,1.248902868
42-317402970000,1.582226122
42-329405360000,2.26242
42-383386280000,2.152887345
42-383378560000,2.11023634
42-383396910000,1.3827378
42-383388980000,1.6122915
42-383396100000,2.469838213
42-461404290000,1.489456805
42-461403330000,0.857211674
42-461403410000,1.367385173
42-329389570000,1.568285895
42-329394220000,1.6177346
42-329396350000,1.339831128
42-235348830000,2.363403188
42-383390660000,1.85041309
42-329399350000,1.333955374
42-105416040000,1.693423656
42-105418950000,1.325462694
42-105416060000,1.784375889
42-105418910000,1.860834653
42-235359270000,1.802784125
42-317402890000,1.657178406
42-173369470000,1.913116889
42-173363840000,1.926204753
42-461398470000,1.35113735
42-461388530000,1.606026333
42-383381530000,2.002737206
42-317398520000,1.73163664
42-317392350000,1.726162467
42-461401350000,1.5379306
42-173372010000,2.448926342
42-235350810000,2.248092555
42-329394310000,0.8318633
42-383391280000,1.579745693
42-235353660000,2.266150145
42-235353920000,1.776788147
42-033323900000,2.6388535
42-105414380000,1.0640041
42-105422640000,1.6108838
42-329411020000,1.708478414
42-317403830000,1.834372314
42-329413560000,1.198484995
42-329398520000,2.299953205
42-329403950000,2.30873165
42-329408940000,1.820092982
42-329413730000,1.405371095
42-383387690000,1.5716146
42-383390200000,1.4034579
42-383396830000,2.016263081
42-383376720000,2.176015778
42-383385010000,2.054552545
42-383374990000,2.27299591
42-461395160000,1.283810823
42-383382200000,1.865903719
42-173369650000,2.115812931
42-383395960000,1.475745362
42-003453590000,1.091059583
42-461405300000,1.046672929
42-329408050000,1.101313167
42-383396740000,2.053990521
42-105417140000,1.498833145
42-329415150000,1.469497808
42-329414960000,1.982942781
42-317406920000,1.904840478
42-227390170000,1.6825229
42-317407430000,1.981065776
42-317407530000,1.465901278
42-317407650000,1.275738609
42-329416090000,1.351016808
42-317407860000,2.295534
42-461405830000,1.11387167
42-383398550000,1.8796054
42-317408050000,2.13318867
42-235361900000,1.8009965
42-461405820000,1.826104187
42-317408150000,1.621366472
42-329416740000,2.146009946
42-105423980000,1.818320888
42-227391840000,1.967873527
42-173376360000,1.564881487
42-317409220000,2.477381455
42-317409370000,2.070890318
42-461406450000,2.284586572
42-317409660000,2.1135304
42-317409750000,1.453636137
42-317409760000,1.452939381
42-227392470000,2.2467737
42-317410360000,1.541292352
42-235362170000,2.035383635
42-329419870000,1.5567698
42-461406880000,0.531665
42-329420300000,1.170189022
42-329420390000,2.1853592
