API_UWI,Unformatted_API_UWI_14,Latitude,Longitude,Latitude_BH,Longitude_BH
42-329-41095,4.23294E+13,31.895125,-102.134235,31.87696223,-102.12828
42-329-41203,4.23294E+13,31.66668053,-102.0998501,31.64917288,-102.0937175
42-329-41443,4.23294E+13,31.96096237,-101.8165387,31.93774064,-101.8103178
42-383-39698,4.23834E+13,31.485378,-101.653492,31.50762983,-101.6608011
42-383-39250,4.23834E+13,31.361381,-101.60322,31.37683008,-101.6029151
42-235-35493,4.22354E+13,31.194396,-101.05126,31.17774901,-101.0527065
42-235-35779,4.22354E+13,31.191595,-101.034272,31.21065826,-101.0314091
42-173-35184,4.21734E+13,31.6557,-101.508013,31.63462414,-101.5012583
42-329-39053,4.23294E+13,31.947571,-101.835848,31.92316861,-101.8292691
42-173-36700,4.21734E+13,31.669144,-101.491251,31.6891583,-101.4977764
42-227-38703,4.22274E+13,32.266625,-101.444293,32.2942864,-101.4528971
42-227-38851,4.22274E+13,32.181086,-101.585538,32.20225812,-101.5949212
42-227-38438,4.22274E+13,32.413453,-101.56595,32.43204706,-101.571797
42-227-38777,4.22274E+13,32.434388,-101.565982,32.46080942,-101.5742834
42-461-39050,4.24614E+13,31.297425,-101.894505,31.31914405,-101.8962713
42-235-35313,4.22354E+13,31.147366,-101.262642,31.17403678,-101.263741
42-329-39173,4.23294E+13,31.857138,-101.968963,31.83805916,-101.9630958
42-329-40244,4.23294E+13,31.838074,-102.029577,31.85876684,-102.0367085
42-329-40242,4.23294E+13,31.969252,-102.270587,31.9555499,-102.2680795
42-135-43200,4.21354E+13,31.744853,-102.329269,31.7589862,-102.3294347
42-383-38301,4.23834E+13,31.123669,-101.366112,31.10109907,-101.3654003
42-317-39699,4.23174E+13,32.129532,-102.118413,32.15467645,-102.128425
42-383-39355,4.23834E+13,31.393245,-101.693558,31.37216626,-101.6854331
42-329-40267,4.23294E+13,31.675398,-101.814175,31.69730243,-101.821297
42-173-36880,4.21734E+13,31.685095,-101.579872,31.7066779,-101.5869354
42-235-35332,4.22354E+13,31.122962,-101.010658,31.14812322,-101.0103947
42-383-38238,4.23834E+13,31.297932,-101.353013,31.27795029,-101.3518146
42-383-38641,4.23834E+13,31.317889,-101.528071,31.3434711,-101.5288171
42-329-39171,4.23294E+13,31.79464344,-101.9318297,31.80655055,-101.9355397
42-329-40856,4.23294E+13,31.973118,-102.152944,32.00123656,-102.1579892
42-317-40491,4.23174E+13,32.2157071,-101.9407215,32.2410198,-101.9527399
42-329-40677,4.23294E+13,31.87680626,-102.0924454,31.9033126,-102.1042747
42-329-40807,4.23294E+13,31.854432,-102.101779,31.83047369,-102.0987397
